idx_epi : 0
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(7, 6)",78,69,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(7, 7)",69,70,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(6, 7)",70,61,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(7, 7)",61,70,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(7, 8)",70,71,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(8, 8)",71,80,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(7, 8)",80,71,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(7, 7)",71,70,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(8, 7)",70,79,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(7, 7)",79,70,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(8, 7)",70,79,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(8, 8)",79,80,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(9, 8)",80,89,-100,True,ID_OBSTACLE

idx_epi : 17
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(7, 4)",76,67,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(6, 4)",67,58,-100,True,ID_OBSTACLE

idx_epi : 18
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(7, 5)",77,68,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(8, 5)",68,77,-0.01,False,ID_GENERAL_MOVE
220528_185639,D,"(9, 4)","(9, 5)",77,86,-100,True,ID_OBSTACLE

idx_epi : 19
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185639,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(7, 4)",76,67,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(7, 3)",67,66,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(7, 4)",66,67,-0.01,False,ID_GENERAL_MOVE
220528_185639,L,"(9, 4)","(7, 3)",67,66,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(7, 4)",66,67,-0.01,False,ID_GENERAL_MOVE
220528_185639,R,"(9, 4)","(7, 5)",67,68,-0.01,False,ID_GENERAL_MOVE
220528_185639,U,"(9, 4)","(6, 5)",68,59,-0.01,False,ID_GENERAL_MOVE
